group_number,L1,L2,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,time_interval
1,0.0031,0.2881,0.0396,0.021,150,sigmoid,sigmoid,17,he_uniform,0.2385,binary_crossentropy,3,0.886,"(179, 526, 123, 1)",sigmoid,Nadam,1.832
2,0.195,0.1822,0.012,0.836,441,softmax,sigmoid,17,he_normal,0.0032,binary_crossentropy,3,0.188,"(269, 144, 528, 254, 1)",sigmoid,SGD,3.161
3,0.0234,0.0841,0.0753,0.287,425,tanh,relu,17,glorot_normal,0.1415,binary_crossentropy,3,0.733,"(480, 146, 1)",sigmoid,Adamax,1.442
4,0.1911,0.2144,0.0713,0.55,829,sigmoid,sigmoid,17,glorot_normal,0.075,binary_crossentropy,3,0.21,"(155, 1)",sigmoid,Adamax,5.051
5,0.2397,0.2723,0.0586,0.649,518,sigmoid,tanh,17,constant,0.1689,binary_crossentropy,3,0.62,"(83, 28, 1)",sigmoid,SGD,2.226
6,0.2484,0.0701,0.0761,0.319,74,tanh,tanh,17,he_uniform,0.2961,binary_crossentropy,3,0.21,"(362, 88, 520, 1)",sigmoid,Adamax,2.869
7,0.1732,0.2623,0.0265,0.278,343,softmax,sigmoid,17,he_normal,0.2197,binary_crossentropy,3,0.693,"(436, 381, 135, 1)",sigmoid,Adamax,3.919
8,0.0496,0.2887,0.0473,0.032,32,relu,tanh,17,he_normal,0.0095,binary_crossentropy,3,0.435,"(294, 65, 80, 1)",sigmoid,SGD,2.379
9,0.0006,0.1834,0.164,0.588,509,relu,tanh,17,constant,0.1761,binary_crossentropy,3,0.448,"(222, 1)",sigmoid,Adamax,2.277
10,0.0635,0.124,0.0358,0.353,6,relu,relu,17,he_normal,0.2455,binary_crossentropy,3,0.568,"(99, 575, 318, 113, 1)",sigmoid,Adamax,1.41
average time: 2.6566 h
