L1,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.111,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.112,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.113,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.114,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.115,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.116,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.117,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.118,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.119,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.12,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.121,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.122,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.123,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.124,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.125,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.126,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.127,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.128,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.129,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.13,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.131,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.132,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.133,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.134,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.135,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.136,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.137,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.138,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.139,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.14,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.141,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.142,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.143,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.144,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.145,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.146,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.147,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.148,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.149,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.15,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.151,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.152,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.153,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.154,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.155,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.156,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.157,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.158,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.159,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.16,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.161,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.162,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.163,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.164,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.165,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.166,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.167,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.168,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.169,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.17,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.171,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.172,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.173,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.174,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.175,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.176,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.177,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.178,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.179,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.18,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.181,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.182,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.183,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.184,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.185,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.186,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.187,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.188,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.189,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.19,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.191,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
0.194,723,0.124,0.23,71,relu,tanh,18,glorot_uniform,0.192,binary_crossentropy,3,0.76,"(184, 1)",sigmoid,Adamax
